"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Pet Store API","0","Pet Management","1","0","Update Pets","0"
"0","Pet Store API","0","Store Management","1","0","Delete Orders","0"
"0","User Endpoint Tests","1","","0","0","Update User","0"
"0","User Endpoint Tests","0","","2","0","Delete User","0"
"0","User Endpoint Tests","0","","2","0","User Authentication","0"
"0","Pet Store API","0","Store Management","1","0","Error Handling","0"
"0","Pet Store API","1","Pet Management","0","0","Retrieve Pets","0"
"0","User Endpoint Tests","0","","2","0","Get User","0"
"0","User Endpoint Tests","0","","1","0","Create User","0"
"0","Pet Store API","0","Store Management","1","0","Create Orders","0"
"0","Pet Store API","0","Pet Management","1","0","Delete Pets","0"
"0","Pet Store API","0","Pet Management","3","0","Error Handling","0"
"0","","0","","1","0","","0"
"0","Pet Store API","0","Pet Management","1","0","Create Pets","0"
"0","Pet Store API","0","Store Management","1","0","Retrieve Orders","0"
