"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Test for updating a pet.
        Steps:
            1. Create a new pet object.
            2. Add pet to the store.
            3. Modify the pet's name and status.
            4. Update the pet through the API.
            5. Assert that the update was successful.
            6. Verify the updated fields match the expected values.
        ","5072","Update an existing pet","tests.test_petstore","Tue Apr 08 15:39:02 GMT 2025","passed","Tue Apr 08 15:39:07 GMT 2025","TestPet","test_pet","",""
"
        Test for deleting an order.
        Steps:
            1. Create a new order object.
            2. Add the order to the store.
            3. Delete the order.
            4. Try to retrieve the deleted order by ID.
            5. Verify that the deletion was successful.
            6. Confirm that the deleted order no longer exists (should return 404).
        ","20379","Delete an order","tests.test_petstore","Tue Apr 08 15:39:31 GMT 2025","passed","Tue Apr 08 15:39:52 GMT 2025","TestStore","test_store","",""
"","15173","Update an existing user's information","tests.test_petstore","Tue Apr 08 15:40:12 GMT 2025","failed","Tue Apr 08 15:40:27 GMT 2025","TestUser","test_user","",""
"","118","Attempt to delete a non-existent user","tests.test_petstore","Tue Apr 08 15:40:33 GMT 2025","passed","Tue Apr 08 15:40:33 GMT 2025","TestUser","test_user","",""
"","32","Logout user from the system","tests.test_petstore","Tue Apr 08 15:40:38 GMT 2025","passed","Tue Apr 08 15:40:38 GMT 2025","TestUser","test_user","",""
"
        Test for retrieving a non-existent order.
        Steps:
            1. Try to get an order with a random or invalid ID.
            2. Verify that the response status code is 404.
        ","270","Get non-existent order should return 404","tests.test_petstore","Tue Apr 08 15:39:31 GMT 2025","passed","Tue Apr 08 15:39:31 GMT 2025","TestStore","test_store","",""
"","5074","Login with valid user credentials","tests.test_petstore","Tue Apr 08 15:40:33 GMT 2025","passed","Tue Apr 08 15:40:38 GMT 2025","TestUser","test_user","",""
"
        Test for retrieving a pet by ID.
        Steps:
            1. Create a new pet object.
            2. Add pet to the store.
            3. Retrieve the pet by its ID using a retry mechanism.
            4. Assert that the response status code is 200.
            5. Assert that the retrieved pet has the same ID and name.
        ","10270","Get pet by ID","tests.test_petstore","Tue Apr 08 15:38:52 GMT 2025","failed","Tue Apr 08 15:39:02 GMT 2025","TestPet","test_pet","",""
"","15235","Retrieve a user by username","tests.test_petstore","Tue Apr 08 15:39:57 GMT 2025","passed","Tue Apr 08 15:40:12 GMT 2025","TestUser","test_user","",""
"","5104","Add a new user to the system","tests.test_petstore","Tue Apr 08 15:39:52 GMT 2025","passed","Tue Apr 08 15:39:57 GMT 2025","TestUser","test_user","",""
"
        Test for adding a new order.
        Steps:
            1. Create a new order object.
            2. Add the order to the store.
            3. Verify that the response status code is 200 (or 201).
            4. Validate the order ID in the response.
        ","203","Add a new order to the store","tests.test_petstore","Tue Apr 08 15:39:21 GMT 2025","passed","Tue Apr 08 15:39:21 GMT 2025","TestStore","test_store","",""
"
        Test for deleting a pet.
        Steps:
            1. Create a new pet object.
            2. Add pet to the store.
            3. Delete the pet using its ID.
            4. Try to retrieve the pet by ID.
            5. Assert that the response status code for deletion is 200.
            6. Assert that retrieving the pet after deletion returns a 404.
        ","13330","Delete a pet","tests.test_petstore","Tue Apr 08 15:39:07 GMT 2025","passed","Tue Apr 08 15:39:21 GMT 2025","TestPet","test_pet","",""
"
        Test for adding a pet with invalid status.
        Steps:
            1. Create a pet object with invalid status.
            2. Attempt to add the pet to the store.
            3. Assert that the status code is 400 or 500 (error).
            4. Verify the API rejects invalid status values.
        ","217","Adding a pet with invalid status should fail","tests.test_petstore","Tue Apr 08 15:38:52 GMT 2025","passed","Tue Apr 08 15:38:52 GMT 2025","TestPet","test_pet","",""
"","0","test_sanity","tests","Tue Apr 08 15:40:38 GMT 2025","passed","Tue Apr 08 15:40:38 GMT 2025","TestSanity","test_sanity","",""
"
        Test for adding a new pet.
        Steps:
            1. Create a new pet object.
            2. Add pet to the store.
            3. Assert that the status code is 200 (or 201).
            4. Assert that the response contains the pet ID and name.
        ","270","Add a new pet to the store","tests.test_petstore","Tue Apr 08 15:38:51 GMT 2025","passed","Tue Apr 08 15:38:52 GMT 2025","TestPet","test_pet","",""
"
        Test for retrieving an order by its ID.
        Steps:
            1. Create a new order object.
            2. Add the order to the store.
            3. Retrieve the order by its ID.
            4. Verify that the response status code is 200.
            5. Validate the retrieved order's ID.
        ","10162","Get order by ID","tests.test_petstore","Tue Apr 08 15:39:21 GMT 2025","passed","Tue Apr 08 15:39:31 GMT 2025","TestStore","test_store","",""
"","167","Attempt to retrieve a non-existent user","tests.test_petstore","Tue Apr 08 15:40:12 GMT 2025","passed","Tue Apr 08 15:40:12 GMT 2025","TestUser","test_user","",""
